Seq		Group	Sub Group	Doc	AGK	Codey	Tab Name	Tab Nbr	Ret Value	Man Ret Value	Open	Close	Show	Special	SpecCol1	SpecCol2	Help
19	Language	Control			S:_agkSendMsg(idx,S:,,T:1,S:,,L:3,S:,,N:5:J:to,S:)	S:send ,T:,S: with ,L:,S: to ,J:to|ANY	Coding	0	0								Send a message to sprites with a list of parameters; optionally wait for a response. Can reuse code in another sprite by running "AS ME"
17	Language	Control		return	S:exitfunction	S:exit function	Coding	0	0								
20	Language	Loops		do			Coding	0	1	1							
21	Language	Loops		loop		S:Loop commands	Coding	0	1	1			T				
22	Language	Loops		repeat	S:repeat	S:repeat	Coding	0	0			until					
23	Language	Loops		until	S:until ,B:1	S:until ,B:	Coding	0	0		repeat						
24	Language	Loops		while	S:while ,B:1	S:while ,B:	Coding	0	0			endwhile					
25	Language	Loops		endwhile	S:endwhile	S:endwhile	Coding	0	0		while						
26	Language	Loops		for	X:0:N,S::,S:for ,X:0,S: = ,N:3,S: to ,N:5,S: step ,N:7,S::,S:_agkSetVar(,V:1,S:,,S:str(,X:0,S:))	S:for ,V:,S: = ,N:1,S: to ,N:10,S: step ,N:1	Coding	0	0			next					
27	Language	Loops		step			Coding	0	0				X				
28	Language	Loops		next	S:next	S:next	Coding	0	0		for						
29	Language	Loops		exit	S:exit	S:exit loop	Coding	0	0								
30	Language	Loops		continue	S:continue	S:skip loop	Coding	0	0				X				
31	Language	Conditionals				S:Conditional commands	Coding	0	0				T				
32	Language	Conditionals			S:true	S:true	Coding	0	2	2							
33	Language	Conditionals			S:false	S:false	Coding	0	2	2							
34	Language	Conditionals		if	S:if ,B:1	S:if ,B:	Coding	0	0			endif					
35	Language	Conditionals		else	S:else	S:else	Coding	0	0		if	endif					
36	Language	Conditionals		elseif cond			Coding	0	0				X				
37	Language	Conditionals		endif	S:endif	S:endif	Coding	0	0		if						
38	Language	Conditionals		select			Coding	0	0				X				
39	Language	Conditionals		case			Coding	0	0				X				
40	Language	Conditionals		case default			Coding	0	0				X				
41	Language	Conditionals		endcase			Coding	0	0				X				
42	Language	Conditionals		endselect			Coding	0	0				X				
43	Language	Arithmetic				S:Arithmetic commands	Coding	0	0				T				
44	Language	Arithmetic		"+"	S:(,F:0,S: ,J:2,S: ,F:4,S:)	F:,S: ,J:math,S: ,F:	Coding	0	1	1				J:2	44	49	
45	Language	Arithmetic		"-"			Coding	0	0				X				
46	Language	Arithmetic		"*"			Coding	0	0				X				
47	Language	Arithmetic		"/"			Coding	0	0				X				
48	Language	Arithmetic		"%"	S:fmod(,F:0,S:,,F:4,S:)		Coding	0	1	1			X				
49	Language	Arithmetic		"^"	S:pow(,F:0,S:,,F:4,S:)		Coding	0	1	1			X				
50	Language	Relational				S:Relational commands	Coding	0	0				T				
51	Language	Relational		"="	T:0,S: ,J:2,S: ,T:4	T:,S: ,J:compare,S: ,T:	Coding	0	2	2				J:2	51	56	
52	Language	Relational		"<>"			Coding	0	0				X				
53	Language	Relational		">"	F:0,S: ,J:2,S: ,F:4		Coding	0	0				X				
54	Language	Relational		"<"	F:0,S: ,J:2,S: ,F:4		Coding	0	0				X				
55	Language	Relational		">="	F:0,S: ,J:2,S: ,F:4		Coding	0	0				X				
56	Language	Relational		"<="	F:0,S: ,J:2,S: ,F:4		Coding	0	0				X				
57	Language	Boolean				S:Boolean commands	Coding	0	0				X				
58	Language	Boolean		And	S:(,B:0,S: ,J:2,S: ,B:4,S:)	B:,S: ,J:logic,S: ,B:	Coding	0	2	2				J:2	58	59	
59	Language	Boolean		Or			Coding	0	0				X				
60	Language	Boolean		Not	S:not ,B:1	S:not ,B:	Coding	0	2	2							
61	Language	Bitwise				S:Bitwise commands	Coding	0	0				T				
62	Language	Bitwise		"<<"	S:(,N:0,S: ,J:2,S: ,N:4,S:)	N:,S: ,J:bits,S: ,N:	Coding	0	1	1				J:2	62	66	
63	Language	Bitwise		">>"			Coding	0	0				X				
64	Language	Bitwise		"&&"			Coding	0	0				X				
65	Language	Bitwise		"||"			Coding	0	0				X				
66	Language	Bitwise		"~~"			Coding	0	0				X				
67	Language	Bitwise		"!"	S:!,N:1	S:not bits ,N:	Coding	0	1	1							
68	Language	Bases				S:Base commands	Coding	0	0				T				
69	Language	Bases		"%"	S:%,N:1	S:from bin ,N:0	Coding	0	1	1							
70	Language	Bases		"0c"	S:0c,N:1	S:from oct ,N:0	Coding	0	1	1							
71	Language	Bases		"0x"	S:0x,T:1	S:from hex ,T:0	Coding	0	1	1							
72	Language	Remarks		//	S:// ,T:1	S:comment ,T:	Coding	0	0								
73	Language	Variables				S:Variable commands	Coding	0	0				T				
74	Language	Variables		Integer	S:_agkSetVar(,V:1,S:,,T:3,S:)	S:set ,V:,S: to ,T:	Coding	0	0								
75	Language	Variables		Integer	S:_agkChangeVar(,V:1,S:,,T:3,S:)	S:change ,V:,S: by ,T:	Coding	0	0								
76	Language	Variables		inc var	S:_agkIncVar(,V:1,S:)	S:inc ,V:	Coding	0	0								
77	Language	Variables		dec var	S:_agkDecVar(,V:1,S:)	S:dec ,V:	Coding	0	0								
78	Language	Variables			S:_agkMakeTempVar(idx,S:,,T:1,S:,,S:0)	S:make var ,T:	Coding	0	0								
79	Language	Variables	Display	GetViewOffsetX()	S:_agkGetTempVar(idx,S:,,T:1,S:,,S:0)	S:var ,T:	Coding	0	1	1			V				
80	Language	Variables			S:_agkEditVar(,A:1,S:)	S:wait for input into ,A:	Coding	0	0								
81	Language	Variables				S:List commands	Coding	0	0				T				
82	Language	Variables		Array	S:_agkInsertListItem(,L:3:L,S:,,T:1,S:,,N:5,S:)	S:insert ,T:,S: into ,L:,S: at ,N:-1	Coding	0	0								
83	Language	Variables		Array	S:_agkSetListItem(,L:3:L,S:,,N:1,S:,,T:5,S:)	S:set item ,N:,S: on ,L:,S: to ,T:	Coding	0	0								
84	Language	Variables		Array	S:_agkSetListItemName(,L:3:L,S:,,N:1,S:,,T:5,S:)	S:set item name ,N:,S: on ,L:,S: to ,T:	Coding	0	0								
85	Language	Variables		Array	S:_agkGetListItem(,L:3:L,S:,,N:1,S:)	S:item at ,N:0,S: from ,L:	Coding	0	3	3							
86	Language	Variables		Array	S:_agkGetListItemName(,L:3:L,S:,,N:1,S:)	S:item name at ,N:0,S: in ,L:	Coding	0	3	3							
87	Language	Variables		Array	S:_agkRemoveListItem(,L:3:L,S:,,N:1,S:)	S:remove ,N:0,S: in ,L:	Coding	0	0								
88	Language	Variables		Array	S:_agkFindListItem(,L:3:L,S:,,T:,S:,,N:5,S:)	S:find ,T:,S: in ,L:,S: start at ,N:0	Coding	0	1	1							
89	Language	Variables		Array	S:_agkFindListItemName(,L:3:L,S:,,T:,S:,,N:5,S:)	S:find name ,T:,S: in ,L:,S: start at ,N:0	Coding	0	1	1							
90	Language	Variables		Array	S:_agkGetListLen(,L:3:L,S:)	S:length ,L:	Coding	0	1	1							
91	Language	Variables		Array	S:_agkSwapListItems(,L:5:L,S:,,N:1,S:,,N:3,S:)	S:swap ,N:,S: and ,N:,S: in ,L:	Coding	0	0								
92	Language	Variables		Array	S:_agkSortList(,L:3:L,S:)	S:sort ,L:	Coding	0	0								
93	Language	Variables		Array	S:_agkReverseList(,L:3:L,S:)	S:reverse ,L:	Coding	0	0								
94	Language	Variables		Array	S:_agkJoinList(,L:3:L,S:,,T:,S:,,N:5:J:join,S:)	S:join ,L:,S: by ,T:,S: as ,J:join	Coding	0	3	3							
95	Language	Variables		Array	S:_agkSplitToList(,L:5,S:,,T:1,S::,T:3,,S:,,N:7:J:join,S:)	S:split ,T:,S: by ,T:,S: to ,L:,S: as ,J:join	Coding	0	0								
96	Language	Variables		Array	S:_agkClearList(,L:1:L,S:)	S:clear ,L:	Coding	0	0								
125	Language	Variables			S:_agkAppendList(,L:3,S:,,L:1,S:)	S:append list ,L:,S: to ,L:	Coding	0	0								
97	Language	Variables			S:_agkMakeTempVar(idx,S:,,T:1,S:,,S:1)	S:make list ,T:	Coding	0	0								
98	Language	Variables		AGK CMD NOT USED	S:_agkGetTempVar(idx,S:,,T:1,S:,,S:1)	S:list ,T:	Coding	0	1	1			L				
129	Language	Variables		AGK CMD NOT USED	S:_agkMakeQuickList1(idx,S:,,T:1,S:)	S:quick list ,T:	Coding	0	1	1			Q1				
130	Language	Variables		AGK CMD NOT USED	S:_agkMakeQuickList2(idx,S:,,T:1,S:,,T:3,S:)	S:quick list ,T:,S: ,T:	Coding	0	1	1			Q2				
131	Language	Variables		AGK CMD NOT USED	S:_agkMakeQuickList3(idx,S:,,T:1,S:,,T:3,S:,,T:5,S:)	S:quick list ,T:,S: ,T:,S: ,T:	Coding	0	1	1			Q3				
132	Language	Variables		AGK CMD NOT USED	S:_agkMakeQuickList4(idx,S:,,T:1,S:,,T:3,S:,,T:5,S:,,T:7,S:)	S:quick list ,T:,S: ,T:,S: ,T:,S: ,T:	Coding	0	1	1			Q4				
99	Language	Variables				S:Variable & List display commands	Coding	0	0				T				
100	Language	Variables			S:_agkShowVar(,A:1,S:,,N:3:J:join,S:)	S:show ,A:,S: as ,J:join	Coding	0	0								
101	Language	Variables			S:_agkHideVar(,A:1,S:)	S:hide ,A:	Coding	0	0								
102	Language	Variables			S:_agkSetVarXY(,A:1,S:,,F3,S:,,F:5,S:)	S:set pos of ,A:,S: to x ,F:0,S: y ,F:0	Coding	0	0								
103	Language	Variables			S:_agkSetVarWH(,A:1,S:,,F3,S:,,F:5,S:)	S:set size of ,A:,S: to w ,F:0,S: h ,F:0	Coding	0	0								
104	Language	Variables			S:_agkSetVarTitleVis(,A:1,S:,,S:true)	S:show title of ,A:	Coding	0	0								
105	Language	Variables			S:_agkSetVarTitleVis(,A:1,S:,,S:false)	S:hide title of ,A:	Coding	0	0								
106	Language	Variables			S:_agkSetVarBgColor(,A:1,S:,,N:3,S:)	S:set title bgnd color of ,A:,S: to ,C:#5D4037	Coding	0	0								
107	Language	Variables			S:_agkSetVarBgVis(,A:1,S:,,S:true)	S:show title bgnd of ,A:	Coding	0	0				X				
108	Language	Variables			S:_agkSetVarBgVis(,A:1,S:,,S:false)	S:hide title bgnd of ,A:	Coding	0	0				X				
109	Language	Variables			S:_agkSetVarTitleColor(,A:1,S:,,N:3,S:)	S:set title text color of ,A:,S: to ,C:#FFFFFF	Coding	0	0								
110	Language	Variables			S:_agkSetVarTitleFont(,A:1,S:,,N:3:J:font,S:)	S:set title font of ,A:,S: to ,J:font	Coding	0	0								
111	Language	Variables			S:_agkSetVarTitleFontSize(,A:1,S:,,N:3,S:)	S:set title font size of ,A:,S: to ,N:24	Coding	0	0								
112	Language	Variables			S:_agkSetVarTitleAlign(,A:1,S:,,N:3:J:title align,S:)	S:set title align of ,A:,S: to ,J:title align	Coding	0	0								
113	Language	Variables			S:_agkSetVarTitlePos(,A:1,S:,,N:3:J:edge,S:)	S:set title edge of ,A:,S: to ,J:edge	Coding	0	0								
114	Language	Variables			S:_agkSetVarBoxVis(,A:1,S:,,S:true)	S:show value bgnd of ,A:	Coding	0	0				X				
115	Language	Variables			S:_agkSetVarBoxVis(,A:1,S:,,S:false)	S:hide value bgnd of ,A:	Coding	0	0				X				
116	Language	Variables			S:_agkSetVarBoxColor(,A:1,S:,,N:3,S:)	S:set value bgnd color of ,A:,S: to ,C:#FFFFFF	Coding	0	0								
117	Language	Variables			S:_agkSetVarTextColor(,A:1,S:,,N:3,S:)	S:set value text color of ,A:,S: to ,C:#000000	Coding	0	0								
118	Language	Variables			S:_agkSetVarTextFont(,A:1,S:,,N:3:J:font,S:)	S:set value font of ,A:,S: to ,J:font	Coding	0	0								
119	Language	Variables			S:_agkSetVarTextFontSize(,A:1,S:,,N:3,S:)	S:set value font size of ,A:,S: to ,N:24	Coding	0	0								
120	Language	Variables			S:_agkSetVarTextAlign(,A:1,S:,,N:3:J:value align,S:)	S:set value align of ,A:,S: to ,J:value align	Coding	0	0								
121	Language	Variables			S:_agkSetVarTextPos(,A:1,S:,,N:3:J:edge,S:)	S:set value edge of ,A:,S: to ,J:edge	Coding	0	0								
122	Language	Variables			S:_agkSetVarTextSecret(,A:1,S:,,B:3,S:)	S:set value secret of ,A:,S: to ,B:	Coding	0	0								
123	Command	Core	Display	ClearDepthBuffer()		S:Display commands	Common	1	0				T				
124	Command	Core	Display	ClearScreen()	S:clearscreen()	S:clear screen	Common	1	0								
126	Command	Core	Display	EnableClearDepth( clear )			Common	1	0								
127	Command	Core	Display	GetPaused()			Common	1	1								
128	Command	Core	Display	GetResumed()			Common	1	2	2							
133	Command	Core	Display	GetShadowPolygonsDrawn()			Common	1	1								
134	Command	Core	Display	GetViewOffsetY()			Common	1	1								
135	Command	Core	Display	GetViewZoom()			Common	1	1								
137	Command	Core	Display	GetVirtualWidth()	S:(getvirtualwidth() - 1)	S:x max	Common	1	1	1							The right edge of the screen.
136	Command	Core	Display	GetVirtualHeight()	S:(getvirtualheight() - 1)	S:y max	Common	1	1	1							The bottom edge of the screen.
138	Command	Core	Display	GetWindowHeight()			Common	1	1								
139	Command	Core	Display	GetWindowWidth()			Common	1	1								
140	Command	Core	Display	IsSupportedDepthTexture()			Common	1	2	2							
141	Command	Core	Display	MaximizeWindow()			Common	1	0								
142	Command	Core	Display	MinimizeApp()			Common	1	0								
143	Command	Core	Display	Render()			Common	1	0								
144	Command	Core	Display	Render2DBack( )			Common	1	0								
145	Command	Core	Display	Render2DFront( )			Common	1	0								
146	Command	Core	Display	Render3D( )			Common	1	0								
147	Command	Core	Display	RenderShadowMap( )			Common	1	0								
148	Command	Core	Display	RestoreApp()			Common	1	0								
149	Command	Core	Display	ScreenFPS()	S:screenfps()	S:fps	Common	1	1	1							
150	Command	Core	Display	ScreenToWorldX( x )			Common	1	1	1							
151	Command	Core	Display	ScreenToWorldY( y )			Common	1	1	1							
152	Command	Core	Display	SetBorderColor( red, green, blue )			Common	1	0								
153	Command	Core	Display	SetClearColor( red, green, blue )	S:cosetclearcolor(,N:1,S:)	S:set clear color ,C:	Common	1	0								
154	Command	Core	Display	SetDisplayAspect( aspect )			Common	1	0								
155	Command	Core	Display	SetImmersiveMode( mode )			Common	1	0								
156	Command	Core	Display	SetIntendedDeviceSize( width, height )			Common	1	0								
157	Command	Core	Display	SetOrientationAllowed( portrait, portrait2, landscape, landscape2 )			Common	1	0								
158	Command	Core	Display	SetRenderToImage( colorImage, depthImage )			Common	1	0								
159	Command	Core	Display	SetRenderToScreen()			Common	1	0								
160	Command	Core	Display	SetResolutionMode( mode )			Common	1	0								
161	Command	Core	Display	SetScissor( x, y, x2, y2 )	S:setscissor(,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:)	S:set scissor to x ,F:,S: y ,F:,S: x2 ,F:,S: y2 ,F:	Common	1	0								
162	Command	Core	Display	SetScreenResolution( width, height )			Common	1	0								
163	Command	Core	Display	SetSyncRate( fps, mode )	S:setsyncrate(,N:1,S:,,B:1,S:)	S:set frame rate to ,N:,S: accurate ,B:	Common	1	0								
164	Command	Core	Display	SetTransitionMode( mode )			Common	1	0								
165	Command	Core	Display	SetViewOffset( x, y )			Common	1	0								
166	Command	Core	Display	SetViewZoom( zoom )			Common	1	0								
167	Command	Core	Display	SetViewZoomMode( mode )			Common	1	0								
168	Command	Core	Display	SetVirtualResolution( iWidth, iHeight )			Common	1	0								
169	Command	Core	Display	SetVSync( mode )			Common	1	0								
170	Command	Core	Display	SetWindowAllowResize( mode )			Common	1	0								
171	Command	Core	Display	SetWindowPosition( x, y )			Common	1	0								
172	Command	Core	Display	SetWindowSize( width, height, fullscreen, allowOverSized )			Common	1	0								
173	Command	Core	Display	WorldToScreenX( x )			Common	1	1	1							
174	Command	Core	Display	WorldToScreenY( y )			Common	1	1	1							
175	Command	Core	Drawing			S:Drawing commands	Common	1	0				T				
176	Command	Core	Drawing	DrawBox( x, y, x2, y2, color1, color2, color3, color4, filled )	S:DrawBox(,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:,,S:__col,S:,,S:__col,S:,,S:__col,S:,,S:__col,S:,,B:9,S:)	S:draw rect at x1 ,F:,S: y1 ,F:,S: x2 ,F:,S: y2 ,F:,S: fill ,B:	Common	1	0								
177	Command	Core	Drawing	DrawEllipse( x, y, radiusx, radiusy, color1, color2, filled )	S:DrawEllipse(,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:,,S:__col,S:,,S:__col,S:,,B:9,S:)	S:draw ellipse at x ,F:,S: y ,F:,S: x with x radius ,F:,S: y radius ,F:,S: fill ,B:	Common	1	0								
178	Command	Core	Drawing	DrawLine( x, y, x2, y2, red, green, blue )	S:DrawLine(,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:,,S:getcolorred(__col),S:,,S:getcolorgreen(__col),S:,,S:getcolorblue(__col),S:)	S:draw line from x1 ,F:,S: y1 ,F:,S: to x2 ,F:,S: y2 ,F:	Common	1	0								
179	Command	Core	Drawing		S:__col = ,N:1	S:set drawing color to ,C:	Common	1	0								
180	Command	Core	Drawing		S:__col = ,N:1	S:set drawing color value to ,N:	Common	1	0								
181	Command	Core	Display	Sync()	S:__col	S:color	Common	1	1	1							
182	Command	Core	Drawing	GetColorBlue( color )	S:getcolorblue(,N:1,S:)	S:blue color ,N:	Common	1	1	1							
183	Command	Core	Drawing	GetColorGreen( color )	S:getcolorgreen(,N:1,S:)	S:green color ,N:	Common	1	1	1							
184	Command	Core	Drawing	GetColorRed( color )	S:getcolorred(,T:1,S:)	S:red color ,N:	Common	1	1	1							
185	Command	Core	Drawing	MakeColor( red, green, blue )	S:MakeColor(,N:1,S:,,N:3,S:,,N:5,S:,,N:7,S:)	S:make color from r ,N:0,S: g ,N:0,S: b ,N:0,S: a ,N:255	Common	1	1	1							
186	Command	Core	External Apps			S:External app commands	Common	1	0				T				
187	Command	Core	External Apps	GetAppRunning( appID )			Common	1	1								
188	Command	Core	External Apps	RunApp( szFilename, szParameters )			Common	1	1	1							
189	Command	Core	External Apps	ShareFile( szFilename )			Common	1	0								
190	Command	Core	External Apps	ShareImage( szFilename )			Common	1	0								
191	Command	Core	External Apps	ShareImageAndText( szFilename, szText )			Common	1	0								
192	Command	Core	External Apps	ShareText( szText )			Common	1	0								
193	Command	Core	External Apps	TerminateApp( appID )			Common	1	0								
194	Command	Core	External Apps	ViewFile( szFilename )			Common	1	0								
195	Command	Core	General			S:General commands	Common	1	0				T				
196	Command	Core	General	StepPhysics( time )			Common	1	0								
197	Command	Core	General	Update( time )			Common	1	0								
198	Command	Core	General	Update2D( time )			Common	1	0								
199	Command	Core	General	Update3D( time )			Common	1	0								
200	Command	Core	Maths			S:Maths commands	Common	1	0				T				
201	Command	Core	Maths	Abs( f )			Common	1	1	1							
202	Command	Core	Maths	ACos( f )	S:acos(,F:1,S:)	S:acos ,F:	Common	1	1	1							
203	Command	Core	Maths	ACosRad( f )			Common	1	1	1							
204	Command	Core	Maths	ASin( f )	S:asin(,F:1,S:)	S:asin ,F:	Common	1	1	1							
205	Command	Core	Maths	ASinRad( f )			Common	1	1	1							
206	Command	Core	Maths	ATan( f )	S:atan(,F:1,S:)	S:atan ,F:	Common	1	1	1							
207	Command	Core	Maths	ATan2( y, x )			Common	1	1	1							
208	Command	Core	Maths	Cos( f )	S:cos(,F:1,S:)	S:cos ,F:	Common	1	1	1							
209	Command	Core	Maths	Sin( a )	S:sin(,F:1,S:)	S:sin ,F:	Common	1	1	1							
210	Command	Core	Maths	Tan( a )	S:tan(,F:1,S:)	S:tan ,F:	Common	1	1	1							
211	Command	Core	Maths	ATan2Rad( y, x )			Common	1	1	1							
212	Command	Core	Maths	ATanFull( x, y )	S:atanfull(,F:1,S:,,F:3,S:)	S:atan x ,F:,S: y ,F:	Common	1	1	1							
213	Command	Core	Maths	ATanFullRad( x, y )			Common	1	1	1							
214	Command	Core	Maths	ATanRad( f )			Common	1	1	1							
215	Command	Core	Maths	Round( a )	S:round(,F:1,S:)	S:round ,F:	Common	1	1	1							
216	Command	Core	Maths	Trunc( a )	S:trunc(,F:1,S:)	S:trunc ,F:	Common	1	1	1							
217	Command	Core	Maths	Ceil( f )	S:ceil(,F:1,S:)	S:ceil ,F:	Common	1	1	1							
218	Command	Core	Maths	CosRad( f )			Common	1	1	1							
219	Command	Core	Maths	Floor( f )	S:floor(,F:1,S:)	s:floor ,F:	Common	1	1	1							
220	Command	Core	Maths	FMod( f, f2 )			Common	1	1	1							
221	Command	Core	Maths	Sqrt( a )	S:sqrt(,F:1,S:)	S:sqrt ,F:	Common	1	1	1							
222	Command	Core	Maths	Log( a )	S:log(,F:1,S:)	S:log ,F:	Common	1	0								
223	Command	Core	Maths	Pow( a, b )			Common	1	1	1			X				
224	Command	Core	Maths	Random( )			Common	1	1	1							
225	Command	Core	Maths	Random2( )	S:random2(,N:1,S:,,N:3,S:)	S:random ,N:1,S: to ,N:100	Common	1	1	1							
226	Command	Core	Maths	RandomSign( value )			Common	1	1	1							
227	Command	Core	Maths	SetRandomSeed( seed )			Common	1	0								
228	Command	Core	Maths	SetRandomSeed2( seed )	S:setrandomseed2(,N:1,S:)	S:set random seed to ,N:	Common	1	0								
229	Command	Core	Maths	SinRad( a )			Common	1	1	1							
230	Command	Core	Maths	TanRad( a )			Common	1	1	1							
231	Command	Core	Misc			S:Miscelaneous commands	Common	1	0				T				
232	Command	Core	Misc	ClearURLSchemeText()			Common	1	0								
233	Command	Core	Misc	DownloadExpansionFile()			Common	1	0								
234	Command	Core	Misc	GetAppName( )			Common	1	1								
235	Command	Core	Misc	GetAppPackageName()			Common	1	1								
236	Command	Core	Misc	GetDeviceBaseName()			Common	1	1								
237	Command	Core	Misc	GetDeviceID()			Common	1	1								
238	Command	Core	Misc	GetDeviceLanguage( )			Common	1	1								
239	Command	Core	Misc	GetDeviceName( )			Common	1	1								
240	Command	Core	Misc	GetDeviceNetworkType()			Common	1	1								
241	Command	Core	Misc	GetDevicePlatform()			Common	1	1								
242	Command	Core	Misc	GetDeviceType()			Common	1	1								
243	Command	Core	Misc	GetExpansionFileError()			Common	1	1								
244	Command	Core	Misc	GetExpansionFileProgress()			Common	1	1								
245	Command	Core	Misc	GetExpansionFileState()			Common	1	1								
246	Command	Core	Misc	GetFrameTime()			Common	1	1								
247	Command	Core	Misc	GetMilliseconds()	S:getmilliseconds()	S:millis	Common	1	1	1							
248	Command	Core	Misc	GetNumProcessors()			Common	1	1								
249	Command	Core	Misc	GetSeconds()			Common	1	1								
250	Command	Core	Misc	GetStorageRemaining( str )			Common	1	1								
251	Command	Core	Misc	GetStorageTotal( str )			Common	1	1								
252	Command	Core	Misc	GetURLSchemeText()			Common	1	1								
253	Command	Core	Misc	Message( msg )	S:message(,T:1,S:)	S:message ,T:	Common	1	0				X				
254	Command	Core	Misc				Common	1	0								
255	Command	Core	Misc	Print( szString )	S:print(,T:1,S:)	S:print ,T:	Common	1	0								
256	Command	Core	Misc	SetPrintColor( iRed, iGreen, iBlue )	X:0:C,S::,S:_agkSetColorStr(,C:1,S:,,X:0,S:),S::,S:setprintcolor(,X:0,S:.r,S:,,X:0,S:.g,S:,,X:0,S:.b,S:)	S:set print color to ,C:	Common	1	0								
257	Command	Core	Misc	SetPrintFont( fontID )			Common	1	0								
258	Command	Core	Misc	SetPrintSize( fSize )	S:setprintsize(,N:1,S:)	S:set print size ,N:	Common	1	0								
259	Command	Core	Misc	SetAntialiasMode( mode )			Common	1	0								
260	Command	Core	Misc	SetDefaultMagFilter( filter )			Common	1	0								
261	Command	Core	Misc	SetDefaultMinFilter( filter )			Common	1	0								
262	Command	Core	Misc	SetDefaultWrapU( mode )			Common	1	0								
263	Command	Core	Misc	SetDefaultWrapV( mode )			Common	1	0								
264	Command	Core	Misc	SetExpansionFileKey( key )			Common	1	0								
265	Command	Core	Misc	SetExpansionFileVersion(int version)			Common	1	0								
266	Command	Core	Misc	SetGenerateMipmaps( generate )			Common	1	0								
267	Command	Core	Misc	SetSleepMode( mode )			Common	1	0								
268	Command	Core	Misc	SetSortCreated( sort )			Common	1	0								
269	Command	Core	Misc	SetSortDepth( sort )			Common	1	0								
270	Command	Core	Misc	SetSortTextures( sort )			Common	1	0								
271	Command	Core	Misc	SetSortTransparentDepth( sort )			Common	1	0								
272	Command	Core	Misc	SetWindowTitle( szTitle )			Common	1	0								
273	Command	Core	Misc	Sha1( str )			Common	1	1	1							
274	Command	Core	Misc	Sha256( str )			Common	1	1	1							
275	Command	Core	Misc	ResetTimer()	S:resettimer()	S:reset timer	Common	1	0								
276	Command	Core	Misc	Timer()	S:timer()	S:timer	Common	1	1	1							
277	Command	Core	Misc	Sleep( milliseconds )	S:sleep(,N:1,S:)	S:sleep ,N:	Common	1	0								
278	Command	Core	Strings			S:String commands	Common	1	0				T				
279	Command	Core	Strings	Bin( i )	S:bin(,N:1,S:)	S:to bin ,N:	Common	1	3	3							
280	Command	Core	Strings	ByteLen( str )			Common	1	1	1							
281	Command	Core	Strings	Chr( uni )	S:chr(,N:1,S:)	S:chr ,N:	Common	1	3	3							
282	Command	Core	Strings	CompareString( str, str )			Common	1	1	1							
283	Command	Core	Strings	Asc( str )	S:asc(,N:1,S:)	S:asc ,T:	Common	1	1	1							
284	Command	Core	Strings	CountStringToken( str, str )			Common	1	1	1							
285	Command	Core	Strings	CountStringToken2( str, str )	S:countstringtokens2(,T:1,S:,,T:3,S:)	S:count tokens in ,T:,S: split by ,T:	Common	1	1	1							
286	Command	Core	Strings	FindString( str, findStr, ignoreCase, start )	S:findstring(,T:3,S:,,T:1,S:,,B:7,S:,,N:5,S:)	S:find ,T:,S: in ,T:,S: start at ,N:1,S: case ,B:	Common	1	1	1							
287	Command	Core	Strings	FindStringCount( str, str )			Common	1	1	1							
